Scenario_name,Total project installation time,Monopile_install_time_months,Turbine_install_time_months,Substructure_install_cost,Turbine_install_cost,"Average time per monopile, days","Average time per turbine, days"
MP4feeder4_060km_WTG3feeder3_060km,14.57124823346188,5.8809687987759975,8.69027943468588,132.8999438213913,197.45525371401396,3.5775893525887317,5.286586656100577
MP4feeder4_060km_WTG3shuttle060km,15.336028653150985,5.8809687987759975,9.455059854374987,132.8999438213913,182.32890836041537,3.5775893525887317,5.751828078078116
MP4feeder4_800km_WTG3feeder3_800km,15.198205670350827,6.791830345253986,8.406375325096842,152.05115542429309,191.05637053288763,4.131696793362842,5.1138783227672455
MP4feeder6_060km_WTG6shuttle060km,15.33891647247716,5.98918797685819,9.34972849561897,134.1382885335839,180.3393160283573,3.643422685922066,5.68775150150154
MP4shuttle060km_WTG3shuttle060km,11.83596879206556,4.745292499334437,7.090676292731123,93.36663609853935,137.66832997380953,2.886719603761782,4.313494744744767
MP4shuttle800km_WTG3feeder3_060km,17.487626728540835,11.304196608923487,6.183430119617348,147.08985101982566,140.95365554049746,6.876719603761789,3.7615866561005533
MP4shuttle800km_WTG3feeder3_800km,18.187057094980332,11.304196608923487,6.882860486056846,147.08985101982566,149.27935873989173,6.876719603761789,4.187073462351248
MP6feeder6_060km_WTG6feeder6_060km,14.68460439784544,5.98918797685819,8.69541642098725,134.1382885335839,197.5710356774843,3.643422685922066,5.289711656100577
MP6shuttle060km_WTG6shuttle060km,11.800574493657562,4.748106272011222,7.052468221646339,93.41978513798976,136.94662196443028,2.888431315473494,4.290251501501523
MP6shuttle800km_WTG3feeder6_800km,17.084618583409405,10.637147367901642,6.447471215507764,138.54791490562928,146.90484846287197,6.470931315473499,3.922211656100556
MP6shuttle800km_WTG6feeder6_060km,17.02982406286146,10.637147367901642,6.392676694959818,138.54791490562928,145.6698408525219,6.470931315473499,3.888878322767223
